Date,Topic,Slides,"Example Code",Reading,Assignment
Aug 31,"Course intro, lexical analysis",lectures/lecture01-public.pdf,,
Sep 2 27,"Context-free grammars, parse trees, ambiguity, recursive descent parsing",lectures/lecture02-public.pdf,,EaC 3.1–3.2,
Sep 7,"*Labor day, no classes*",
Sep 9,"Limitations of recursive descent, precedence climbing",lectures/lecture03-public.pdf,,EaC 3.3,,
Sep 14,"ASTs, interpreters",lectures/lecture04-public.pdf,,
Sep 16,"Interpreter runtime structures",lectures/lecture05-public.pdf,,,"<span class='tentative'>A1 due<br>Fri 9/18</span>"
Sep 21,"Interpreter runtime structures 2",lectures/lecture06-public.pdf,,"[Gosling, Java Intermediate Bytecodes](https://dl.acm.org/doi/pdf/10.1145/202529.202541)",
Sep 23,"Lexical analyzer generators, lex/flex",lectures/lecture07-public.pdf,,"EaC 2.1–2.5, F&amp;B Chapters 1–2",
Sep 28,"LL(1) parsing",lectures/lecture08-public.pdf,,"EaC 3.3","<span class='tentative'>A2 MS1 due</span>"
Sep 30,"Parser generators, yacc/bison",lectures/lecture09-public.pdf,calc.zip,"F&amp;B Chapter 3",
Oct 5,"Bottom-up parsing, Exam 1 review",lectures/lecture10-public.pdf,,"EaC 3.4"
Oct 7,"**Exam 1**",,,,"<span class='tentative'>A2 MS2 due<br>Fri 10/9</span>"
Oct 12,"C syntax and semantics",lectures/lecture11-public.pdf,,
Oct 14,"AST visitors, ad-hoc semantic analysis",lectures/lecture12-public.pdf,,,
Oct 19,"Intermediate representations",lectures/lecture13-public.pdf,,"EaC 5.1–5.5"
Oct 21,"Code generation for expressions",lectures/lecture14-public.pdf,,"EaC 7.1–7.4",
Oct 22–23,*WSE Fall break (no classes)*,
Oct 26,"x86-64 assembly language, low-level codegen",lectures/lecture15-public.pdf,,,
Oct 28,"Conditions, decisions, and loops",lectures/lecture16-public.pdf,,"EaC 7.8","<span class='tentative'>A3 due</span>"
Nov 2,"Pointers, arrays, structs, function calls",lectures/lecture17-public.pdf,,"EaC 7.5–7.7, 7.9",,
Nov 4,"Exam 2 review, codegen work day",,,"","<span class='tentative'>A4 MS1 due<br>Fri 11/6</span>"
Nov 9,"Exam 2",,,
Nov 11,"Intro to code optimization, local value numbering, copy propagation",lectures/lecture18-public.pdf,,"EaC 8.1–8.5"
Nov 16,"Global optimization/liveness analysis",lectures/lecture19-public.pdf,,"EaC 8.6"
Nov 18,"Local register allocation",lectures/lecture20-public.pdf,,"EaC 13.1–13.3","<span class='tentative'>A4 MS2 due<br>Fri 11/20</span>"
Nov 23–27,*Fall recess (no classes)*,
Nov 30,"Peephole optimization",lectures/lecture21-public.pdf,,"EaC 11.5"
Dec 2,"Dataflow analysis",lectures/foster-dataflow.pdf,,"EaC 9.1–9.2, <a href='lectures/kildall-popl73.pdf'>Kildall-POPL73</a>",
Dec 7,"Static single assignment (SSA) form: [slides](lectures/lecture23-public.pdf), [CMU SSA slides](http://www.cs.cmu.edu/afs/cs/academic/class/15745-s12/public/lectures/L13-SSA-Concepts-1up.pdf), [PDX global reg alloc slides](https://web.cecs.pdx.edu/~mperkows/temp/register-allocation.pdf)",,,
Dec 9,"Exam 3 review, work day",,,,"<span class='tentative'>A5 due<br>Fri 12/11</span>"
Dec 21,"Exam 3, 6pm, Location TBD",
